language,type,i,c,id
Portuguese,RV,HAVE,INCLUDE,person_654
Portuguese,RV,MAKES,DISTANCES,person_654
Swedish,RV,do,provide,person_1103
French,RJ,respected,true,person_2350
French,RJ,deceived,disappointed,person_2350
French,RV,putting,publish,person_2350
French,RV,spent,have,person_2350
French,RV,wandering,wondering,person_2350
French,RJ,offensive,aggressive,person_2350
French,RV,go,get,person_2350
French,RN,human,mankind,person_2350
German,RV,getting,coming,person_442
Spanish,RN,spectators,audience,person_2391
Japanese,RV,done,booked,person_2408
Japanese,RN,responsibility,fault,person_2408
Japanese,RN,fee,price,person_2408
Japanese,RN,show,ticket,person_2408
Japanese,RY,up,on,person_2408
Spanish,RV,think,wish,person_1459
Spanish,RV,have,get,person_1459
Spanish,RN,cabin,kiosk,person_1459
Spanish,RV,tell,talk,person_1459
Catalan,RV,played,performed,person_871
Catalan,RJ,last,recent,person_871
Catalan,RV,explain,tell,person_871
Catalan,RN,play,role,person_871
Catalan,RJ,all,whole,person_871
Catalan,RN,spectators,audience,person_871
Catalan,RV,do,give,person_871
Catalan,RV,showed,advertised,person_871
Catalan,RN,office,agent,person_871
Catalan,RV,do,take,person_871
Catalan,RV,broke,ended,person_871
Catalan,RV,made,did,person_871
Italian,RV,noted,noticed,person_1288
Italian,RY,no,not,person_1288
Italian,RN,restitution,refund,person_1288
Italian,RN,word,world,person_1288
Italian,RJ,big,large,person_1288
Italian,RN,part,proportion,person_1288
Italian,RN,street,route,person_1288
Italian,RJ,biggest,largest,person_1288
Italian,RY,after,afterwards,person_1288
Polish,RJ,grateful,great,person_939
Polish,RV,am,do,person_939
Polish,RV,would,must,person_939
Polish,RN,partner,clients,person_939
Polish,RV,spent,had,person_911
Polish,RY,before,ago,person_911
Polish,RV,caused,was,person_911
Polish,RV,get,go,person_911
Polish,RY,before,ago,person_911
Polish,RV,pay,give,person_911
Polish,RY,sincerely,faithfully,person_911
Polish,RY,before,ago,person_911
Polish,RV,stay,stand,person_911
Polish,RN,living,life,person_911
Portuguese,RV,can,might,person_246
Portuguese,RV,buy,shop,person_246
Portuguese,RV,bring,create,person_246
Japanese,RV,play,perform,person_1920
Japanese,RV,playing,performing,person_1920
German,RV,inherited,left,person_1934
Korean,RN,runner,manager,person_285
Spanish,RN,arrangement,visit,person_1707
Spanish,RN,scene,stage,person_1707
Spanish,RY,never,ever,person_1707
Spanish,RV,face,cure,person_1707
Spanish,RN,teas,tears,person_1707
Spanish,RV,got,became,person_1707
Spanish,RV,appreciate,see,person_1707
Spanish,RV,denied,refused,person_1707
Greek,RV,work,do,person_1706
Italian,RN,chance,opportunity,person_290
Italian,RV,came,got,person_290
Italian,RN,troubles,problems,person_290
Italian,RJ,well-looking,good-looking,person_290
Italian,RV,had,received,person_290
Italian,RV,loosing,losing,person_290
Spanish,RV,made,gave,person_1048
Spanish,RN,place,seat,person_1048
Spanish,RV,used,taken,person_1048
Spanish,RN,place,seat,person_1048
Spanish,RV,find,discovered,person_1048
Spanish,RV,went,climbed,person_1048
Greek,RV,going,meant,person_2019
Greek,RV,going,meant,person_2019
Greek,RV,write,say,person_2019
Greek,RV,is,have,person_2019
Greek,RN,county,country,person_2019
Greek,RV,effecting,affecting,person_2019
French,RJ,Close,Closed,person_870
French,RY,very,really,person_870
French,RN,place,part,person_870
French,RN,searches,research,person_870
French,RJ,reliable,dependent,person_870
Turkish,RV,want,let,person_2192
Turkish,RV,plays,appears,person_2192
Turkish,RV,wished,hoped,person_2192
Turkish,RN,mistake,problem,person_2192
Turkish,RV,couldn't,didn't,person_2192
Turkish,RV,played,appeared,person_2192
Turkish,RV,said,told,person_2192
Turkish,RV,play,appear,person_2192
Turkish,RV,came,went,person_2192
Turkish,RJ,close,closed,person_2192
Turkish,RY,too,very,person_2192
Turkish,RV,use,get,person_2192
Turkish,RN,mail,email,person_2192
Turkish,RV,coming,approaching,person_2192
Turkish,RJ,past,old,person_2192
Turkish,RN,mail,letter,person_2192
Catalan,RN,seller,assistant,person_1666
Catalan,RN,session,performance,person_1666
Catalan,RV,announced,promised,person_1666
Japanese,RN,reduction,discount,person_1114
Russian,RY,Besides,Also,person_1672
Russian,RN,holiday,party,person_1672
Spanish,RV,explain,describe,person_1841
Spanish,RV,hadn't,didn't,person_1841
Spanish,RJ,actually,modern-day,person_1841
Spanish,RJ,wrong,bad,person_1841
Spanish,RV,expected,supposed,person_1699
Spanish,RY,anywhere,somewhere,person_1699
Greek,RV,written,said,person_1131
Greek,RN,night,evening,person_1131
Greek,RV,had,got,person_1131
Greek,RY,sincerely,faithfully,person_1131
Greek,RJ,big,great,person_1131
Greek,RV,were,wore,person_1131
Greek,RV,were,wore,person_1131
Greek,RV,happened,was,person_1125
Greek,RV,wrote,said,person_1125
Greek,RV,wrote,said,person_1125
Greek,RV,taking,receiving,person_1125
Greek,RN,answer,reply,person_1125
Greek,RV,became,were,person_1125
Greek,RV,went,came,person_1125
Greek,RV,had,was,person_1125
Greek,RY,After,Afterwards,person_1125
Spanish,RV,didn't,wouldn't,person_56
Spanish,RV,give,throw,person_56
Spanish,RJ,delightful,delicious,person_56
French,RV,didn't,wasn't,person_2362
French,RY,Apparently,Obviously,person_2362
French,RY,surely,certainly,person_2362
French,RV,offer,give,person_2362
Catalan,RV,HAD,SHOULD,person_1119
Catalan,RV,COULD,HAD,person_1119
Catalan,RN,SHOW,THEATRE,person_1119
Catalan,RV,WONDER,ASK,person_1119
Catalan,RJ,MAIN,IMPORTANT,person_1119
Catalan,RV,KNOW,MEET,person_1119
Catalan,RV,MUST,OUGHT,person_1119
German,RN,points,things,person_2376
German,RV,displayed,advertised,person_2376
German,RN,disadvantages,disappointments,person_2376
German,RN,diner,dinner,person_2376
German,RV,learned,revised,person_2376
German,RV,made,did,person_2376
German,RY,now,then,person_2376
German,RV,archive,file,person_2376
German,RV,taken,made,person_2376
Chinese,RV,were,did,person_1496
Chinese,RY,However,Really,person_1496
Chinese,RJ,satisfying,satisfactory,person_1496
Chinese,RV,influenced,affected,person_1496
Chinese,RV,can,would,person_1496
Chinese,RV,does,has,person_1496
Chinese,RV,learn,acquire,person_1496
Korean,RY,only,just,person_100
French,RV,offer,give,person_699
French,RN,point,statement,person_699
French,RY,here,there,person_699
French,RN,man,actor,person_699
French,RN,tone,tune,person_699
French,RV,offer,give,person_699
French,RN,diner,dinner,person_699
French,RY,still,again,person_699
French,RN,improvements,renovation,person_699
French,RV,join,attach,person_699
French,RY,yet,still,person_699
French,RV,got,have,person_699
French,RN,country,countryside,person_699
French,RY,too,very,person_699
French,RN,story,secret,person_699
French,RV,went,left,person_699
French,RN,quietness,peace,person_699
French,RY,fast,soon,person_699
French,RY,more,again,person_699
Spanish,RJ,titled,entitled,person_869
Turkish,RV,given,paid,person_2160
Turkish,RY,sincerely,faithfully,person_2160
Turkish,RV,fire,burn,person_2160
Turkish,RN,section,area,person_2160
German,RN,time,performance,person_1253
German,RV,supposed,expected,person_1253
German,RV,proposed,told,person_1253
German,RV,come,become,person_1253
Portuguese,RV,stayed,was,person_1938
Portuguese,RV,knew,thought,person_1938
Portuguese,RN,propaganda,advertisement,person_1938
Portuguese,RV,had,was,person_1938
Portuguese,RV,have,get,person_1938
Portuguese,RV,complement,complain,person_1938
Portuguese,RV,have,get,person_1938
Portuguese,RV,getting,doing,person_1938
Portuguese,RV,get,take,person_1938
Catalan,RN,session,performance,person_1092
Catalan,RV,said,promised,person_1092
Catalan,RV,wished,wanted,person_1092
Catalan,RV,including,enclosing,person_1092
Catalan,RV,could,would,person_1092
Catalan,RN,time,while,person_1092
Catalan,RJ,more,longer,person_1092
Catalan,RJ,surrounding,deafening,person_1092
Catalan,RN,fire,hob,person_1092
Catalan,RN,arriving,arrival,person_1092
French,RV,obtain,get,person_1045
French,RJ,attractive,interesting,person_1045
French,RV,go,start,person_1045
French,RV,have,provide,person_1045
Turkish,RY,later,late,person_2202
Turkish,RY,no,not,person_2202
Turkish,RV,passes,is,person_2202
Turkish,RJ,exhausted,exhausting,person_2202
Spanish,RN,cook,cooking,person_2203
Spanish,RY,hardly,nearly,person_2203
Spanish,RY,Mostly,Nearly,person_2203
Spanish,RN,top,height,person_2203
Spanish,RV,watch,see,person_2203
Italian,RN,fun,fan,person_1722
Italian,RN,possibility,opportunity,person_1722
Italian,RV,know,hear,person_1722
Italian,RV,makes,lets,person_1722
Italian,RV,stay,go,person_1722
Spanish,RV,was,took,person_2773
Spanish,RJ,last,yesterday,person_2773
Spanish,RN,prize,price,person_2773
Spanish,RJ,available,affordable,person_2773
Catalan,RV,come,go,person_2015
Catalan,RV,came,became,person_2015
Catalan,RN,webs,websites,person_2015
Catalan,RN,fellow,friend,person_2015
Catalan,RV,explain,say,person_2015
Japanese,RV,could,would,person_1454
Japanese,RV,did,started,person_1454
Japanese,RV,accepted,offered,person_1454
Japanese,RN,life,lifestyle,person_1454
Japanese,RV,gives,causes,person_1454
Japanese,RJ,big,great,person_1454
Thai,RJ,disappointing,disappointed,person_101
Thai,RJ,disappointing,disappointed,person_101
Thai,RJ,famous,favourite,person_101
Thai,RY,sincerely,faithfully,person_101
Thai,RV,starting,deteriorating,person_101
Thai,RN,price,prize,person_101
Thai,RN,clothe,clothes,person_101
Greek,RV,started,starred,person_883
Greek,RV,writing,waiting,person_883
Greek,RV,passed,spent,person_883
Greek,RV,make,do,person_883
German,RV,showed,advertised,person_2377
German,RY,more,longer,person_2377
German,RV,left,spent,person_2377
German,RJ,main,big,person_2377
German,RN,kind,way,person_2377
German,RV,standing,causing,person_2377
French,RN,prize,price,person_1656
French,RN,material,equipment,person_1656
French,RN,dive,diving,person_1656
Portuguese,RV,know,have,person_465
Portuguese,RY,quite,almost,person_465
Portuguese,RV,earned,had,person_465
Portuguese,RN,sun,son,person_465
Portuguese,RN,sun,son,person_465
Portuguese,RV,get,can,person_465
Portuguese,RN,clothes,fashions,person_465
Swedish,RV,stress,mess,person_1859
Korean,RN,pitches,stadiums,person_2349
French,RV,played,perform,person_2375
French,RN,representation,performance,person_2375
French,RV,find,get,person_2375
French,RV,drink,have,person_2375
French,RN,discover,invention,person_2375
Chinese,RV,mentioned,described,person_2407
French,RJ,disappointing,disappointed,person_103
French,RN,points,things,person_103
French,RV,spoke,wrote,person_103
French,RV,offered,invited,person_103
Japanese,RV,want,went,person_842
Japanese,RV,like,want,person_842
Japanese,RV,played,performed,person_842
Japanese,RJ,broken,dilapidated,person_842
Japanese,RN,sea,beach,person_842
Japanese,RV,come,gone,person_842
Korean,RV,inform,gave,person_1456
Greek,RV,written,said,person_2759
Italian,RN,ballets,dancing,person_2771
Italian,RY,eventually,finally,person_2771
Italian,RN,spectators,audience,person_2771
French,RV,have,get,person_1278
French,RV,take,get,person_1278
French,RN,scene,stage,person_1278
French,RY,where,when,person_1278
Spanish,RN,reward,compensation,person_1091
Spanish,RJ,lively,likely,person_1091
Portuguese,RN,fraud,lie,person_513
Portuguese,RV,could,has,person_513
Portuguese,RJ,exciting,excited,person_513
Portuguese,RN,facilities,devices,person_513
Polish,RJ,interested,interesting,person_261
Polish,RV,was,said,person_261
Polish,RV,would,must,person_261
Polish,RV,speak,talk,person_261
Polish,RN,skin,leather,person_261
Polish,RN,part,item,person_261
Polish,RN,clothes,clothing,person_261
Swedish,RN,reparations,repairs,person_2229
Swedish,RV,talking,swapping,person_2229
Swedish,RV,get,make,person_2229
Swedish,RV,get,find,person_2201
Swedish,RV,watch,see,person_2201
Swedish,RN,night,evening,person_2201
Swedish,RV,told,promised,person_2201
Swedish,RN,persons,actors,person_2201
Swedish,RN,supper,meal,person_2201
Swedish,RV,said,promised,person_2201
Swedish,RV,wear,carry,person_2201
Swedish,RJ,technical,tangible,person_2201
Thai,RY,absolutely,very,person_2572
Spanish,RV,got,was,person_2200
Spanish,RY,Lately,Later,person_2200
Spanish,RJ,close,closed,person_2200
Spanish,RY,finally,eventually,person_2200
Polish,RV,come,gone,person_2566
Polish,RN,arguments,complaints,person_2566
Polish,RY,rapidly,suddenly,person_2566
Polish,RN,ideas,results,person_2566
Portuguese,RN,public,audience,person_260
Portuguese,RN,love,lover,person_260
Portuguese,RV,brake,break,person_260
Greek,RN,point,way,person_1090
Greek,RV,don't,can't,person_1090
Russian,RV,do,make,person_248
German,RV,wish,hope,person_704
German,RJ,big,great,person_704
German,RY,mainly,frequently,person_704
Japanese,RN,product,show,person_2604
Japanese,RV,back,return,person_2604
Japanese,RN,equipment,facilities,person_2604
Japanese,RV,went,got,person_2604
Japanese,RV,back,return,person_2604
Japanese,RV,noticed,saw,person_2604
Japanese,RV,said,told,person_2604
Japanese,RV,backed,returned,person_2604
Swedish,RV,saw,watched,person_843
Swedish,RV,cause,create,person_843
Swedish,RJ,Strict,Formal,person_843
Spanish,RV,announced,advertised,person_880
Spanish,RN,return,refund,person_880
Spanish,RV,take,put,person_880
Turkish,RJ,false,untrue,person_2189
Turkish,RV,mention,say,person_2189
Turkish,RN,machines,appliances,person_2189
Turkish,RN,discovering,invention,person_2189
Turkish,RN,researching,research,person_2189
Turkish,RV,go,get,person_2189
Turkish,RV,research,study,person_2189
Turkish,RN,plant,planet,person_2189
French,RV,made,gave,person_2374
French,RN,transport,travel,person_2374
French,RV,waking,walking,person_2374
French,RN,way,means,person_2374
French,RY,older,longer,person_2374
French,RN,searches,research,person_2374
French,RV,don't,shouldn't,person_2412
French,RJ,All,Whole,person_2412
French,RY,too,also,person_2412
French,RV,discovered,invented,person_2412
French,RJ,All,whole,person_2412
Greek,RV,pass,have,person_1133
Greek,RJ,disappointing,disappointed,person_1133
Greek,RV,came,go,person_1133
Greek,RN,store,story,person_1133
Greek,RV,bay,pay,person_1133
Greek,RY,sincerely,faithfully,person_1133
Greek,RN,year,century,person_1133
Greek,RY,wear,when,person_1133
Greek,RV,can,want,person_1133
Greek,RV,take,get,person_1133
Greek,RV,makes,helps,person_1133
Greek,RV,stay,spend,person_1133
Greek,RV,found,like,person_1133
Greek,RY,well,much,person_1133
Greek,RV,loose,lose,person_1133
Greek,RN,fat,weight,person_1133
Greek,RV,made,develop,person_1133
Greek,RY,so,very,person_1133
Spanish,RY,while,when,person_1899
Spanish,RJ,comprehensive,understanding,person_1899
Spanish,RV,go,come,person_1899
Spanish,RJ,rare,surprising,person_1899
Spanish,RJ,wrong,bad,person_1899
Spanish,RY,rapidly,immediately,person_1899
Spanish,RN,final,ending,person_1899
Spanish,RN,fantasy,imagination,person_1899
Spanish,RJ,COMPLETE,FULL,person_2402
French,RN,possibility,opportunity,person_648
Spanish,RV,had,occurred,person_2600
Spanish,RV,published,advertised,person_2600
Spanish,RV,gave,get,person_2600
Spanish,RN,description,account,person_2600
Spanish,RV,solved,resolved,person_2600
Spanish,RN,trouble,problem,person_2600
Polish,RY,rather,instead,person_2628
German,RJ,last,yesterday,person_2006
German,RV,visiting,seeing,person_2006
German,RV,come,be,person_2006
German,RJ,large,big,person_2006
German,RN,robes,skirts,person_2006
German,RV,causes,wear,person_2006
German,RN,robes,skirts,person_2006
German,RN,season,reason,person_2006
German,RN,salvation,solution,person_2006
German,RN,kind,method,person_2006
Russian,RJ,disappointing,disappointed,person_2012
Russian,RN,presentation,show,person_2012
Russian,RV,didn't,wasn't,person_2012
Russian,RV,made,forced,person_2012
Russian,RN,waist,waste,person_2012
Russian,RV,think,imagine,person_2012
Russian,RV,can,might,person_2012
Japanese,RV,presented,produced,person_1241
Japanese,RV,acting,playing,person_1241
Japanese,RY,no,not,person_1241
Japanese,RJ,close,closed,person_1241
Japanese,RN,cloth,clothes,person_1241
Spanish,RN,PROTAGONIST,STAR,person_2748
Spanish,RN,BEING,RACE,person_2748
Spanish,RN,MACHINE,ENGINE,person_2748
Spanish,RV,TAKE,DO,person_2748
Catalan,RV,come,appear,person_2210
Catalan,RV,might,should,person_2210
Catalan,RV,return,give,person_2210
Catalan,RY,presently,now,person_2210
Catalan,RV,explained,told,person_2210
Catalan,RN,points,things,person_2210
Catalan,RV,explain,tell,person_2210
Catalan,RV,be,stay,person_2210
Portuguese,RV,was,did,person_1731
Portuguese,RV,had,got,person_1731
Portuguese,RV,written,advertised,person_1731
Portuguese,RV,say,tell,person_1731
Portuguese,RV,increasing,advancing,person_1731
Portuguese,RV,was,is,person_1731
Portuguese,RV,have,get,person_1731
French,RN,travel,trip,person_1056
French,RV,spared,saved,person_1056
French,RV,attended,seen,person_1056
French,RY,absolutely,definitely,person_1056
French,RN,troubles,problems,person_1056
French,RN,disagreements,annoyances,person_1056
French,RN,thinking,thoughts,person_1056
French,RN,manner,way,person_1056
French,RV,wish,hope,person_1056
French,RV,comes,appears,person_1056
Spanish,RV,came,was,person_1081
Spanish,RV,involved,meant,person_1081
Spanish,RY,Nevertheless,However,person_1081
Spanish,RN,point,thing,person_1081
Spanish,RV,determined,decided,person_1081
French,RV,played,performed,person_2749
French,RV,do,be,person_2749
French,RV,explained,described,person_2749
Korean,RJ,real,actual,person_1240
Korean,RN,stuffs,tasks,person_1240
Korean,RN,nature,environment,person_1240
Italian,RV,pretend,demand,person_926
Italian,RV,have,get,person_926
Italian,RV,stay,spend,person_926
French,RV,find,think,person_2775
French,RV,changed,replaced,person_2775
French,RN,stress,emphasis,person_2775
French,RN,paper,note,person_2775
French,RV,loose,lose,person_2775
French,RV,have,can,person_2775
French,RN,possibilities,opportunities,person_2775
French,RJ,cheap,expensive,person_2775
French,RN,marks,makes,person_2775
French,RV,buying,getting,person_2775
French,RJ,nervous,tense,person_2775
Catalan,RJ,nervous,irritable,person_2761
Catalan,RJ,main,big,person_2761
Catalan,RV,drink,have,person_2761
Catalan,RN,element,thing,person_2761
Catalan,RV,keep,storing,person_2761
Russian,RJ,available,valid,person_1334
Russian,RV,postpone,delayed,person_1334
Russian,RV,got,have,person_1334
Russian,RV,become,get,person_1334
Russian,RN,way,form,person_1334
Italian,RV,coming,going,person_1320
Italian,RY,truly,frankly,person_1320
Italian,RV,entered,arrived,person_1320
Italian,RV,written,advertised,person_1320
Italian,RY,before,early,person_1320
Italian,RV,taken,made,person_1320
Italian,RN,work,labour,person_1320
Italian,RN,searches,advances,person_1320
Italian,RV,stay,live,person_1320
Italian,RY,already,still,person_1320
Italian,RN,discoveries,innovations,person_1320
German,RN,point,example,person_1650
German,RN,point,example,person_1650
German,RJ,necessary,essential,person_1650
Thai,RV,writing,waiting,person_1136
Thai,RN,notice,advertisement,person_1136
Spanish,RV,say,tell,person_86
Spanish,RV,changed,replaced,person_86
Spanish,RN,reparations,repairs,person_86
Spanish,RV,answered,told,person_86
Japanese,RV,told,said,person_92
Japanese,RN,trouble,problem,person_92
Japanese,RN,stuff,staff,person_92
Japanese,RV,would,should,person_92
Japanese,RY,seriously,carefully,person_92
Japanese,RV,found,saw,person_92
Catalan,RV,attempted,attended,person_1687
Catalan,RV,planned,meant,person_1687
Catalan,RV,did,started,person_1687
Catalan,RV,take,get,person_1687
Catalan,RJ,hot,warmer,person_1687
Catalan,RV,take,play,person_1687
Catalan,RV,search,find,person_1687
Catalan,RV,wish,hope,person_1687
Polish,RN,play,show,person_463
Polish,RV,had,were,person_463
Polish,RN,prizes,prices,person_463
Polish,RV,sign,stated,person_463
Polish,RV,effect,affect,person_463
Polish,RV,effects,affects,person_463
Polish,RV,questioning,asking,person_463
French,RV,did,would,person_1861
French,RN,entertainment,show,person_1861
French,RN,reduction,discount,person_1861
French,RN,pricing,price,person_1861
French,RV,made,had,person_1861
Spanish,RV,have,get,person_1134
Spanish,RV,puts,states,person_1134
Spanish,RV,got,was,person_1134
Spanish,RV,told,asked,person_1134
Spanish,RV,did,had,person_1134
Spanish,RY,more,again,person_1134
Greek,RV,played,performing,person_1652
Greek,RV,take,get,person_1652
Greek,RN,sight,sign,person_1652
Greek,RJ,Close,Closed,person_1652
Greek,RY,sincerely,faithfully,person_1652
Greek,RV,told,asked,person_1652
Greek,RV,said,told,person_1652
Greek,RV,say,tell,person_1652
Korean,RN,Stuff,Staff,person_2429
Korean,RY,absolutely,totally,person_2429
Korean,RV,do,give,person_2429
Korean,RN,cloths,fabrics,person_2429
French,RJ,mean,poor,person_677
French,RN,reparations,renovation,person_677
French,RV,came,went,person_677
Korean,RV,answer,describe,person_2617
Korean,RN,products,appliances,person_2617
Korean,RN,juice,juicer,person_2617
Korean,RJ,owing,thanks,person_2617
Korean,RV,get,have,person_2617
Spanish,RV,presented,performed,person_878
Spanish,RV,mentioned,described,person_878
Spanish,RV,makes,keeps,person_878
Polish,RV,play,perform,person_1478
Polish,RN,cooker,cook,person_1478
Polish,RN,answer,reply,person_1478
Polish,RN,director,organiser,person_1478
Polish,RN,invite,invitation,person_1478
Polish,RN,sign,note,person_1478
Polish,RV,put,turned,person_1478
Polish,RV,get,receive,person_1478
Spanish,RV,appreciated,liked,person_688
Spanish,RV,changed,replaced,person_688
Spanish,RN,change,replacement,person_688
Spanish,RV,have,get,person_688
Spanish,RN,answer,explanation,person_688
Spanish,RY,no,not,person_688
Spanish,RY,long,far,person_688
Spanish,RV,stay,spend,person_688
French,RV,passed,had,person_844
French,RJ,correct,right,person_844
French,RV,haven't,don't,person_844
French,RN,fault,mistake,person_844
French,RN,drunk,drink,person_844
French,RV,don't,aren't,person_844
French,RV,explained,told,person_844
French,RV,passed,spent,person_844
French,RJ,all,whole,person_844
French,RV,say,told,person_844
Catalan,RV,held,played,person_2777
Catalan,RN,ticket,price,person_2777
Catalan,RJ,daily,everyday,person_2777
Spanish,RJ,different,various,person_2763
Spanish,RN,points,things,person_2763
Spanish,RJ,disappointing,disappointed,person_2763
Spanish,RV,was,went,person_2763
Spanish,RV,was,met,person_2763
Spanish,RY,absolutely,really,person_2763
Spanish,RV,say,tell,person_2763
Spanish,RV,made,written,person_2763
Spanish,RJ,amused,amusing,person_2763
Spanish,RV,check,see,person_2763
Spanish,RN,point,subject,person_2763
French,RV,be,have,person_930
French,RN,entertainment,evening,person_930
French,RJ,annoying,boring,person_930
French,RV,would,wish,person_930
French,RY,before,beforehand,person_930
French,RV,granted,guaranteed,person_930
French,RV,grant,give,person_930
French,RN,bill,ticket,person_930
French,RV,boosted,advanced,person_930
French,RV,put,get,person_930
French,RN,way,method,person_930
French,RV,have,be,person_930
Turkish,RV,said,promised,person_515
Turkish,RN,viewers,audience,person_515
Turkish,RV,mentioned,meant,person_515
Turkish,RV,do,would,person_515
Turkish,RN,problems,hesitation,person_515
Turkish,RY,Sincerely,Faithfully,person_515
Turkish,RJ,main,principal,person_515
Turkish,RN,friend,friendship,person_515
Turkish,RY,strictly,firmly,person_515
Catalan,RV,attend,meet,person_1928
Catalan,RV,didn't,wouldn't,person_1928
Greek,RV,can,would,person_1914
Greek,RV,took,got,person_1914
Greek,RY,before,ago,person_1914
German,RY,before,earlier,person_2762
German,RY,almost,nearly,person_2762
German,RV,bares,bears,person_2762
Russian,RY,how,As,person_892
Russian,RV,play,star,person_892
Russian,RV,play,act,person_892
Russian,RV,played,acted,person_892
Russian,RV,came,got,person_892
Russian,RV,broke,spoilt,person_892
Russian,RY,very,greatly,person_892
Russian,RY,only,just,person_892
Russian,RV,push,turn,person_892
Russian,RY,very,really,person_892
Portuguese,RV,made,gave,person_662
Portuguese,RN,tube,pipe,person_662
Portuguese,RY,ever,never,person_662
Portuguese,RN,troubles,problems,person_662
Portuguese,RV,cash,pay,person_662
Portuguese,RJ,evident,obvious,person_662
Portuguese,RN,possibility,opportunity,person_662
Portuguese,RV,is,has,person_662
Portuguese,RV,granted,created,person_662
Portuguese,RN,facilities,conveniences,person_662
Japanese,RY,extremely,very,person_1684
Japanese,RV,cure,treat,person_1684
Japanese,RV,spend,use,person_1684
Russian,RJ,newest,latest,person_448
Russian,RN,play,performance,person_448
Russian,RV,noticed,said,person_448
Russian,RV,came,arrived,person_448
Russian,RV,make,organise,person_448
Russian,RY,ago,before,person_448
Russian,RV,present,give,person_448
Russian,RV,proposed,suggested,person_448
Russian,RV,came,went,person_448
Korean,RV,get,went,person_2498
Korean,RV,be,have,person_2498
Korean,RY,so,too,person_2498
Korean,RV,wear,dressed,person_2498
Korean,RJ,further,future,person_2498
Korean,RN,days,times,person_2498
Korean,RN,testament,restaurant,person_1813
Korean,RY,till,still,person_1813
Korean,RV,changed,made,person_1813
Japanese,RV,played,performed,person_2329
Japanese,RY,later,late,person_2329
Japanese,RY,sometime,sometimes,person_2329
Japanese,RY,soon,quickly,person_2329
French,RV,played,playing,person_2665
French,RN,moment,time,person_2665
French,RV,played,performed,person_2665
French,RV,done,given,person_2665
French,RV,allowed,entitled,person_2665
French,RV,have,get,person_2665
French,RV,is,can,person_2665
French,RJ,specific,special,person_2665
French,RJ,close,short,person_2665
French,RN,insurance,assurance,person_2665
French,RN,leisure,hobby,person_2665
Spanish,RJ,embarrassed,embarrassing,person_2671
Spanish,RV,known,met,person_2671
Spanish,RV,offered,invited,person_2671
Spanish,RV,could,had,person_2671
Spanish,RV,had,was,person_2671
Spanish,RV,make,get,person_2671
Spanish,RV,felt,fell,person_2671
Spanish,RV,did,had,person_2671
Polish,RV,have,were,person_942
Polish,RV,observe,see,person_942
Polish,RV,using,wearing,person_942
Polish,RV,wear,dress,person_942
Spanish,RN,moment,time,person_1224
Spanish,RV,change,replace,person_1224
Spanish,RN,case,position,person_1224
Spanish,RN,people,audience,person_1224
Spanish,RN,layer,lawyer,person_1224
Spanish,RN,love,lover,person_1224
Spanish,RV,passed,spent,person_1224
Spanish,RV,said,told,person_1224
Spanish,RV,refused,denied,person_1224
Thai,RN,notice,information,person_2705
Thai,RV,is,meant,person_2705
Thai,RV,mean,meant,person_2705
Thai,RV,mention,stated,person_2705
Thai,RN,cloths,clothes,person_2705
Thai,RJ,realistic,everyday,person_2705
Thai,RV,were,wear,person_2705
Russian,RV,didn't,couldn't,person_1797
Russian,RV,hoped,thought,person_1797
Russian,RY,just,only,person_1797
Russian,RV,don't,haven't,person_1797
Turkish,RY,last,lastly,person_1026
Turkish,RY,next,up,person_1026
Turkish,RV,couldn't,shouldn't,person_1026
Turkish,RV,offered,asked,person_1026
Turkish,RV,talk,told,person_1026
Italian,RV,reply,complain,person_1032
Italian,RV,reply,complain,person_1032
Italian,RY,Sometime,Sometimes,person_1032
Italian,RV,stay,am,person_1032
Italian,RV,control,check,person_1032
Italian,RV,looking,watching,person_1032
Italian,RV,make,take,person_1032
Spanish,RJ,available,open,person_2261
Spanish,RN,attention,interest,person_2261
Catalan,RN,event,show,person_1999
Catalan,RV,leaded,runs,person_1999
Catalan,RV,bring,gave,person_1999
Catalan,RV,make,talk,person_1999
Catalan,RV,put,turned,person_1999
Catalan,RV,obliged,advise,person_1999
Polish,RN,evening,night,person_2248
Polish,RV,become,received,person_2248
Polish,RN,replay,reply,person_2248
Polish,RN,stay,story,person_2248
Polish,RV,become,received,person_2248
Polish,RV,came,went,person_2248
Polish,RV,explained,told,person_2248
Polish,RN,lair,liar,person_2248
Polish,RN,word's,story,person_2248
Polish,RN,words,story,person_2248
Polish,RN,lair,liar,person_2248
Italian,RV,spent,had,person_2076
Italian,RV,seeing,watching,person_2076
Italian,RN,wish,request,person_2076
Italian,RJ,west,western,person_2076
Italian,RV,done,taken,person_2076
Italian,RV,wish,imagine,person_2076
Italian,RV,should,would,person_2076
Italian,RV,become,go,person_2076
Italian,RV,could,might,person_2076
Polish,RN,range,change,person_1219
Polish,RV,would,was,person_1219
Catalan,RV,spending,having,person_764
Catalan,RV,forbade,forgot,person_764
Thai,RY,very,really,person_1580
Thai,RV,did,were,person_1580
Thai,RN,decorating,refurbishment,person_1580
Thai,RJ,enjoy,glad,person_1580
Thai,RV,know,get,person_1580
Spanish,RJ,wrong,untrue,person_758
Spanish,RV,close,imprison,person_758
Spanish,RY,far,away,person_758
Spanish,RN,opinion,mind,person_758
Spanish,RN,conscience,consciousness,person_758
